Product_ID,Product_Name,total_sales,avg_daily_sales,sales_volatility,avg_stock,revenue,avg_price,store_count,stock_to_sales_ratio,cluster,demand_level
35,Product_35,1217,13.83,1.75,265.0,98017.18,80.54,20,19.16,0,Low
96,Product_96,1147,13.03,1.71,255.2,36669.59,31.97,20,19.59,0,Low
59,Product_59,1086,12.07,1.85,267.8,98109.24,90.34,20,22.19,0,Low
119,Product_119,1069,12.01,1.66,256.5,86685.21,81.09,20,21.36,0,Low
144,Product_144,994,11.17,1.6,264.9,13627.74,13.71,20,23.72,0,Low
41,Product_41,942,10.47,1.56,258.8,20036.34,21.27,20,24.72,0,Low
19,Product_19,925,10.28,1.58,268.0,29942.25,32.37,20,26.07,0,Low
34,Product_34,925,10.28,1.44,252.7,73398.75,79.35,20,24.58,0,Low
124,Product_124,921,10.35,1.58,259.7,8114.01,8.81,20,25.09,0,Low
47,Product_47,830,9.22,1.37,260.7,67171.9,80.93,20,28.28,0,Low
86,Product_86,826,9.28,1.44,258.9,68896.66,83.41,20,27.9,0,Low
93,Product_93,824,9.26,1.52,263.7,12780.24,15.51,20,28.48,0,Low
25,Product_25,744,8.27,1.39,262.2,47147.28,63.37,20,31.7,0,Low
66,Product_66,703,7.81,1.43,249.8,66032.79,93.93,20,31.98,0,Low
115,Product_115,656,7.45,1.46,267.3,53227.84,81.14,20,35.88,0,Low
29,Product_29,519,5.9,1.12,254.5,48739.29,93.91,20,43.14,0,Low
75,Product_75,518,5.82,1.13,259.3,51142.14,98.73,20,44.55,0,Low
46,Product_46,504,5.6,1.07,254.4,39095.28,77.57,20,45.43,0,Low
122,Product_122,452,5.02,1.08,250.4,32236.64,71.32,20,49.88,0,Low
101,Product_101,277,3.08,0.79,261.3,18492.52,66.76,20,84.84,0,Low
118,Product_118,259,2.91,0.8,252.9,2703.96,10.44,20,86.91,0,Low
70,Product_70,252,2.8,0.83,262.6,14497.56,57.53,20,93.79,0,Low
