Date,Product_ID,Product_Name,Store_ID,Warehouse_ID,Sales_Quantity,Stock_Quantity,Price,Revenue,Year,Month,Week,DayOfWeek,IsWeekend
2026-08-18,108,Product_108,2,2,4,115,23.83,95.32,2026,8,34,3,0
2026-08-18,72,Product_72,2,2,2,95,79.13,158.26,2026,8,34,3,0
2026-06-23,148,Product_148,18,8,16,276,79.49,1271.84,2026,6,26,3,0
2026-07-21,82,Product_82,9,9,11,289,60.88,669.68,2026,7,30,3,0
2026-07-17,143,Product_143,3,3,18,275,21.45,386.1,2026,7,29,6,0
2026-07-13,115,Product_115,12,2,1,257,81.14,81.14,2026,7,29,2,0
2026-07-12,117,Product_117,5,5,4,335,85.69,342.76,2026,7,28,1,1
2026-07-25,121,Product_121,1,1,3,443,78.35,235.05,2026,7,30,7,1
2026-08-06,8,Product_8,20,10,11,391,33.2,365.2,2026,8,32,5,0
2026-07-25,129,Product_129,19,9,10,172,64.85,648.5,2026,7,30,7,1
2026-06-25,78,Product_78,13,3,5,304,16.26,81.3,2026,6,26,5,0
2026-08-08,102,Product_102,16,6,1,241,13.59,13.59,2026,8,32,7,1
2026-08-11,5,Product_5,7,7,4,69,36.11,144.44,2026,8,33,3,0
2026-07-26,101,Product_101,12,2,0,179,66.76,0.0,2026,7,30,1,1
2026-06-13,89,Product_89,9,9,17,478,47.02,799.34,2026,6,24,7,1
2026-06-01,133,Product_133,5,5,14,483,23.34,326.76,2026,6,23,2,0
2026-06-15,68,Product_68,4,4,21,418,41.42,869.82,2026,6,25,2,0
2026-07-19,129,Product_129,8,8,9,402,64.85,583.65,2026,7,29,1,1
2026-06-08,11,Product_11,2,2,2,208,50.69,101.38,2026,6,24,2,0
2026-07-05,84,Product_84,12,2,8,358,6.17,49.36,2026,7,27,1,1
2026-06-12,148,Product_148,4,4,21,141,79.49,1669.29,2026,6,24,6,0
2026-07-29,135,Product_135,17,7,6,122,72.44,434.64,2026,7,31,4,0
2026-06-22,58,Product_58,11,1,17,28,36.7,623.9,2026,6,26,2,0
2026-07-17,85,Product_85,18,8,5,185,48.16,240.8,2026,7,29,6,0
2026-08-09,89,Product_89,17,7,14,118,47.02,658.28,2026,8,32,1,1
2026-07-31,37,Product_37,11,1,6,238,29.07,174.42,2026,7,31,6,0
2026-06-09,143,Product_143,6,6,14,86,21.45,300.3,2026,6,24,3,0
2026-08-10,119,Product_119,2,2,1,82,81.09,81.09,2026,8,33,2,0
2026-06-18,28,Product_28,2,2,2,103,13.03,26.06,2026,6,25,5,0
2026-06-07,48,Product_48,3,3,16,99,51.75,828.0,2026,6,23,1,1
2026-07-01,77,Product_77,7,7,4,249,95.36,381.44,2026,7,27,4,0
2026-06-24,21,Product_21,9,9,9,327,24.23,218.07,2026,6,26,4,0
2026-08-11,141,Product_141,17,7,17,30,88.99,1512.83,2026,8,33,3,0
2026-06-09,16,Product_16,14,4,8,98,81.42,651.36,2026,6,24,3,0
2026-08-03,45,Product_45,9,9,9,103,54.65,491.85,2026,8,32,2,0
2026-06-12,8,Product_8,15,5,15,139,33.2,498.0,2026,6,24,6,0
2026-07-22,8,Product_8,5,5,11,163,33.2,365.2,2026,7,30,4,0
2026-06-13,10,Product_10,3,3,19,47,92.05,1748.95,2026,6,24,7,1
2026-06-06,32,Product_32,9,9,5,417,81.08,405.4,2026,6,23,7,1
2026-08-17,63,Product_63,7,7,8,461,34.87,278.96,2026,8,34,2,0
2026-07-10,130,Product_130,16,6,2,156,85.86,171.72,2026,7,28,6,0
2026-06-05,25,Product_25,10,10,3,493,63.37,190.11,2026,6,23,6,0
2026-07-09,35,Product_35,3,3,5,492,80.54,402.7,2026,7,28,5,0
2026-08-04,50,Product_50,3,3,5,83,93.47,467.35,2026,8,32,3,0
2026-08-20,75,Product_75,13,3,1,285,98.73,98.73,2026,8,34,5,0
2026-07-02,4,Product_4,12,2,11,113,39.81,437.91,2026,7,27,5,0
2026-06-24,14,Product_14,7,7,5,377,85.61,428.05,2026,6,26,4,0
2026-07-03,106,Product_106,2,2,14,473,18.59,260.26,2026,7,27,6,0
2026-06-28,86,Product_86,19,9,6,193,83.41,500.46,2026,6,26,1,1
2026-08-22,89,Product_89,2,2,19,123,47.02,893.38,2026,8,34,7,1
2026-06-16,128,Product_128,16,6,5,120,75.79,378.95,2026,6,25,3,0
2026-07-03,129,Product_129,12,2,7,212,64.85,453.95,2026,7,27,6,0
2026-06-04,120,Product_120,19,9,29,92,93.14,2701.06,2026,6,23,5,0
2026-06-09,130,Product_130,19,9,11,170,85.86,944.46,2026,6,24,3,0
2026-08-09,99,Product_99,19,9,9,135,99.91,899.19,2026,8,32,1,1
2026-08-16,19,Product_19,1,1,4,32,32.37,129.48,2026,8,33,1,1
2026-07-20,84,Product_84,16,6,3,80,6.17,18.51,2026,7,30,2,0
2026-06-17,86,Product_86,18,8,0,69,83.41,0.0,2026,6,25,4,0
2026-06-03,109,Product_109,18,8,9,25,91.51,823.59,2026,6,23,4,0
2026-06-20,8,Product_8,19,9,20,238,33.2,664.0,2026,6,25,7,1
2026-07-09,20,Product_20,18,8,2,280,74.81,149.62,2026,7,28,5,0
2026-07-04,139,Product_139,1,1,3,351,63.55,190.65,2026,7,27,7,1
2026-06-18,116,Product_116,7,7,14,445,27.66,387.24,2026,6,25,5,0
2026-08-23,71,Product_71,6,6,4,100,93.93,375.72,2026,8,34,1,1
2026-08-04,23,Product_23,16,6,10,335,86.77,867.7,2026,8,32,3,0
2026-07-31,145,Product_145,14,4,10,282,22.44,224.4,2026,7,31,6,0
2026-06-10,103,Product_103,4,4,2,137,90.22,180.44,2026,6,24,4,0
2026-08-14,110,Product_110,10,10,9,303,67.35,606.15,2026,8,33,6,0
2026-07-08,117,Product_117,14,4,4,456,85.69,342.76,2026,7,28,4,0
2026-07-21,105,Product_105,8,8,12,86,27.88,334.56,2026,7,30,3,0
2026-07-17,31,Product_31,14,4,6,149,96.09,576.54,2026,7,29,6,0
2026-07-31,108,Product_108,15,5,7,368,23.83,166.81,2026,7,31,6,0
2026-07-20,57,Product_57,12,2,8,21,68.77,550.16,2026,7,30,2,0
2026-06-11,37,Product_37,7,7,8,141,29.07,232.56,2026,6,24,5,0
2026-07-04,114,Product_114,16,6,4,143,62.56,250.24,2026,7,27,7,1
2026-07-27,52,Product_52,1,1,3,263,16.12,48.36,2026,7,31,2,0
2026-06-26,144,Product_144,11,1,3,20,13.71,41.13,2026,6,26,6,0
2026-07-26,75,Product_75,4,4,2,375,98.73,197.46,2026,7,30,1,1
2026-06-12,46,Product_46,5,5,2,450,77.57,155.14,2026,6,24,6,0
2026-08-03,93,Product_93,16,6,3,413,15.51,46.53,2026,8,32,2,0
2026-08-27,57,Product_57,20,10,14,415,68.77,962.78,2026,8,35,5,0
2026-06-25,45,Product_45,8,8,7,382,54.65,382.55,2026,6,26,5,0
2026-06-28,91,Product_91,4,4,15,79,92.25,1383.75,2026,6,26,1,1
2026-06-03,51,Product_51,11,1,3,345,16.37,49.11,2026,6,23,4,0
2026-06-14,50,Product_50,14,4,10,185,93.47,934.7,2026,6,24,1,1
2026-08-05,12,Product_12,11,1,9,399,36.19,325.71,2026,8,32,4,0
2026-08-28,50,Product_50,20,10,3,382,93.47,280.41,2026,8,35,6,0
2026-06-18,28,Product_28,11,1,2,65,13.03,26.06,2026,6,25,5,0
2026-06-01,73,Product_73,14,4,8,344,50.54,404.32,2026,6,23,2,0
2026-06-14,143,Product_143,5,5,13,355,21.45,278.85,2026,6,24,1,1
2026-06-18,144,Product_144,20,10,5,299,13.71,68.55,2026,6,25,5,0
2026-07-18,11,Product_11,4,4,4,282,50.69,202.76,2026,7,29,7,1
2026-07-16,80,Product_80,8,8,25,284,65.52,1638.0,2026,7,29,5,0
2026-06-19,100,Product_100,8,8,6,215,68.24,409.44,2026,6,25,6,0
2026-07-04,23,Product_23,15,5,16,141,86.77,1388.32,2026,7,27,7,1
2026-08-07,32,Product_32,19,9,3,369,81.08,243.24,2026,8,32,6,0
2026-07-14,44,Product_44,2,2,17,335,49.27,837.59,2026,7,29,3,0
2026-08-21,43,Product_43,16,6,5,346,59.38,296.9,2026,8,34,6,0
2026-07-05,63,Product_63,7,7,7,121,34.87,244.09,2026,7,27,1,1
2026-07-26,143,Product_143,4,4,16,330,21.45,343.2,2026,7,30,1,1
2026-07-14,84,Product_84,14,4,3,383,6.17,18.51,2026,7,29,3,0
2026-08-26,88,Product_88,10,10,5,286,48.56,242.8,2026,8,35,4,0
2026-08-21,134,Product_134,12,2,8,288,30.72,245.76,2026,8,34,6,0
2026-06-21,112,Product_112,5,5,12,360,5.52,66.24,2026,6,25,1,1
2026-07-03,113,Product_113,14,4,32,323,9.91,317.12,2026,7,27,6,0
2026-07-07,55,Product_55,8,8,6,247,44.77,268.62,2026,7,28,3,0
2026-07-04,111,Product_111,6,6,6,337,8.44,50.64,2026,7,27,7,1
2026-08-19,50,Product_50,1,1,3,346,93.47,280.41,2026,8,34,4,0
2026-06-13,61,Product_61,1,1,25,282,30.7,767.5,2026,6,24,7,1
2026-08-05,49,Product_49,11,1,4,165,61.96,247.84,2026,8,32,4,0
2026-06-18,101,Product_101,16,6,0,118,66.76,0.0,2026,6,25,5,0
2026-06-23,117,Product_117,10,10,3,329,85.69,257.07,2026,6,26,3,0
2026-06-25,38,Product_38,15,5,17,484,61.06,1038.02,2026,6,26,5,0
2026-06-06,131,Product_131,20,10,6,467,19.75,118.5,2026,6,23,7,1
2026-07-28,138,Product_138,19,9,17,238,10.18,173.06,2026,7,31,3,0
2026-07-02,67,Product_67,15,5,5,420,46.6,233.0,2026,7,27,5,0
2026-08-27,106,Product_106,10,10,5,287,18.59,92.95,2026,8,35,5,0
2026-08-13,55,Product_55,20,10,3,223,44.77,134.31,2026,8,33,5,0
2026-06-23,67,Product_67,2,2,9,329,46.6,419.4,2026,6,26,3,0
2026-06-15,129,Product_129,5,5,8,242,64.85,518.8,2026,6,25,2,0
2026-06-11,106,Product_106,8,8,12,136,18.59,223.08,2026,6,24,5,0
2026-07-26,67,Product_67,8,8,14,304,46.6,652.4,2026,7,30,1,1
2026-07-14,122,Product_122,17,7,1,131,71.32,71.32,2026,7,29,3,0
2026-06-24,139,Product_139,16,6,4,397,63.55,254.2,2026,6,26,4,0
2026-07-10,115,Product_115,14,4,1,47,81.14,81.14,2026,7,28,6,0
2026-07-29,16,Product_16,8,8,9,113,81.42,732.78,2026,7,31,4,0
2026-06-20,73,Product_73,12,2,21,52,50.54,1061.34,2026,6,25,7,1
2026-08-04,88,Product_88,18,8,8,162,48.56,388.48,2026,8,32,3,0
2026-07-05,26,Product_26,14,4,5,448,14.03,70.15,2026,7,27,1,1
2026-06-11,51,Product_51,6,6,3,148,16.37,49.11,2026,6,24,5,0
2026-07-08,21,Product_21,11,1,8,207,24.23,193.84,2026,7,28,4,0
2026-08-28,34,Product_34,9,9,3,355,79.35,238.05,2026,8,35,6,0
2026-06-07,107,Product_107,1,1,5,99,78.79,393.95,2026,6,23,1,1
2026-07-21,125,Product_125,1,1,35,471,24.17,845.95,2026,7,30,3,0
2026-08-04,76,Product_76,10,10,11,239,73.19,805.09,2026,8,32,3,0
2026-07-19,103,Product_103,20,10,1,159,90.22,90.22,2026,7,29,1,1
2026-07-13,5,Product_5,8,8,7,372,36.11,252.77,2026,7,29,2,0
2026-07-13,16,Product_16,12,2,7,440,81.42,569.94,2026,7,29,2,0
2026-08-21,27,Product_27,19,9,9,407,73.94,665.46,2026,8,34,6,0
2026-06-10,56,Product_56,16,6,6,199,78.56,471.36,2026,6,24,4,0
2026-06-12,115,Product_115,20,10,1,480,81.14,81.14,2026,6,24,6,0
2026-08-16,103,Product_103,19,9,1,409,90.22,90.22,2026,8,33,1,1
2026-06-30,136,Product_136,1,1,5,224,98.12,490.6,2026,6,27,3,0
2026-06-14,63,Product_63,11,1,4,335,34.87,139.48,2026,6,24,1,1
2026-07-01,113,Product_113,17,7,27,210,9.91,267.57,2026,7,27,4,0
2026-06-16,134,Product_134,9,9,11,368,30.72,337.92,2026,6,25,3,0
2026-08-22,49,Product_49,11,1,7,247,61.96,433.72,2026,8,34,7,1
2026-08-23,124,Product_124,20,10,3,127,8.81,26.43,2026,8,34,1,1
2026-08-10,113,Product_113,6,6,18,38,9.91,178.38,2026,8,33,2,0
2026-06-15,47,Product_47,5,5,0,499,80.93,0.0,2026,6,25,2,0
2026-08-13,27,Product_27,19,9,8,483,73.94,591.52,2026,8,33,5,0
2026-08-15,7,Product_7,6,6,10,334,70.15,701.5,2026,8,33,7,1
2026-07-14,10,Product_10,2,2,10,161,92.05,920.5,2026,7,29,3,0
2026-08-11,105,Product_105,4,4,2,452,27.88,55.76,2026,8,33,3,0
2026-08-23,129,Product_129,19,9,15,437,64.85,972.75,2026,8,34,1,1
2026-06-24,99,Product_99,14,4,8,354,99.91,799.28,2026,6,26,4,0
2026-07-15,68,Product_68,12,2,23,116,41.42,952.66,2026,7,29,4,0
2026-06-15,143,Product_143,18,8,14,112,21.45,300.3,2026,6,25,2,0
2026-08-14,144,Product_144,18,8,4,464,13.71,54.84,2026,8,33,6,0
2026-06-27,34,Product_34,13,3,2,259,79.35,158.7,2026,6,26,7,1
2026-06-01,142,Product_142,18,8,9,191,72.41,651.69,2026,6,23,2,0
2026-06-30,107,Product_107,16,6,6,468,78.79,472.74,2026,6,27,3,0
2026-08-18,16,Product_16,15,5,6,243,81.42,488.52,2026,8,34,3,0
2026-07-28,20,Product_20,3,3,3,449,74.81,224.43,2026,7,31,3,0
2026-07-09,79,Product_79,18,8,0,21,85.8,0.0,2026,7,28,5,0
2026-07-22,85,Product_85,14,4,6,378,48.16,288.96,2026,7,30,4,0
2026-08-27,32,Product_32,18,8,2,432,81.08,162.16,2026,8,35,5,0
2026-08-18,134,Product_134,10,10,9,410,30.72,276.48,2026,8,34,3,0
2026-07-12,9,Product_9,17,7,7,175,95.14,665.98,2026,7,28,1,1
2026-06-21,52,Product_52,9,9,3,413,16.12,48.36,2026,6,25,1,1
2026-06-23,72,Product_72,8,8,3,40,79.13,237.39,2026,6,26,3,0
2026-08-09,63,Product_63,18,8,5,435,34.87,174.35,2026,8,32,1,1
2026-08-01,79,Product_79,15,5,2,161,85.8,171.6,2026,8,31,7,1
2026-06-23,63,Product_63,13,3,5,498,34.87,174.35,2026,6,26,3,0
2026-07-31,134,Product_134,13,3,7,156,30.72,215.04,2026,7,31,6,0
2026-07-07,105,Product_105,11,1,6,153,27.88,167.28,2026,7,28,3,0
2026-07-15,22,Product_22,7,7,11,123,71.01,781.11,2026,7,29,4,0
2026-06-17,67,Product_67,10,10,8,350,46.6,372.8,2026,6,25,4,0
2026-07-05,71,Product_71,10,10,1,52,93.93,93.93,2026,7,27,1,1
2026-07-14,13,Product_13,13,3,12,205,55.87,670.44,2026,7,29,3,0
2026-06-28,121,Product_121,16,6,6,44,78.35,470.1,2026,6,26,1,1
2026-07-05,139,Product_139,18,8,5,183,63.55,317.75,2026,7,27,1,1
2026-06-28,75,Product_75,5,5,2,203,98.73,197.46,2026,6,26,1,1
2026-06-01,120,Product_120,6,6,20,170,93.14,1862.8,2026,6,23,2,0
2026-08-17,99,Product_99,20,10,7,103,99.91,699.37,2026,8,34,2,0
2026-06-21,49,Product_49,12,2,6,132,61.96,371.76,2026,6,25,1,1
2026-07-02,87,Product_87,4,4,18,259,33.06,595.08,2026,7,27,5,0
2026-06-16,54,Product_54,16,6,10,204,67.5,675.0,2026,6,25,3,0
2026-08-24,41,Product_41,6,6,1,340,21.27,21.27,2026,8,35,2,0
2026-08-07,80,Product_80,4,4,17,342,65.52,1113.84,2026,8,32,6,0
2026-07-21,128,Product_128,3,3,5,33,75.79,378.95,2026,7,30,3,0
2026-08-18,70,Product_70,16,6,0,180,57.53,0.0,2026,8,34,3,0
2026-07-08,41,Product_41,15,5,2,276,21.27,42.54,2026,7,28,4,0
2026-07-15,33,Product_33,3,3,10,110,61.4,614.0,2026,7,29,4,0
2026-06-02,37,Product_37,8,8,7,466,29.07,203.49,2026,6,23,3,0
2026-06-09,18,Product_18,16,6,15,207,65.13,976.95,2026,6,24,3,0
2026-07-08,73,Product_73,7,7,13,260,50.54,657.02,2026,7,28,4,0
2026-07-27,148,Product_148,2,2,10,466,79.49,794.9,2026,7,31,2,0
2026-07-08,141,Product_141,2,2,19,229,88.99,1690.81,2026,7,28,4,0
2026-06-05,56,Product_56,16,6,8,483,78.56,628.48,2026,6,23,6,0
2026-07-01,43,Product_43,7,7,16,410,59.38,950.08,2026,7,27,4,0
2026-07-09,145,Product_145,5,5,9,407,22.44,201.96,2026,7,28,5,0
2026-07-15,88,Product_88,14,4,11,429,48.56,534.16,2026,7,29,4,0
2026-07-04,131,Product_131,13,3,15,94,19.75,296.25,2026,7,27,7,1
2026-08-23,56,Product_56,1,1,9,38,78.56,707.04,2026,8,34,1,1
2026-08-27,7,Product_7,15,5,14,72,70.15,982.1,2026,8,35,5,0
2026-06-08,31,Product_31,9,9,7,388,96.09,672.63,2026,6,24,2,0
2026-07-12,141,Product_141,12,2,26,67,88.99,2313.74,2026,7,28,1,1
2026-07-31,138,Product_138,3,3,18,65,10.18,183.24,2026,7,31,6,0
2026-06-18,44,Product_44,10,10,11,145,49.27,541.97,2026,6,25,5,0
2026-07-30,47,Product_47,4,4,2,381,80.93,161.86,2026,7,31,5,0
2026-08-29,119,Product_119,10,10,5,45,81.09,405.45,2026,8,35,7,1
2026-07-07,30,Product_30,6,6,4,478,18.05,72.2,2026,7,28,3,0
2026-06-06,24,Product_24,3,3,19,216,17.55,333.45,2026,6,23,7,1
2026-07-05,40,Product_40,11,1,9,310,63.54,571.86,2026,7,27,1,1
2026-08-11,120,Product_120,4,4,18,378,93.14,1676.52,2026,8,33,3,0
2026-07-21,34,Product_34,20,10,0,196,79.35,0.0,2026,7,30,3,0
2026-08-26,124,Product_124,16,6,4,493,8.81,35.24,2026,8,35,4,0
2026-06-02,89,Product_89,19,9,15,362,47.02,705.3,2026,6,23,3,0
2026-08-02,72,Product_72,19,9,5,40,79.13,395.65,2026,8,31,1,1
2026-07-27,74,Product_74,17,7,6,396,40.75,244.5,2026,7,31,2,0
2026-06-07,57,Product_57,18,8,11,260,68.77,756.47,2026,6,23,1,1
2026-06-19,30,Product_30,12,2,5,251,18.05,90.25,2026,6,25,6,0
2026-06-19,121,Product_121,18,8,8,179,78.35,626.8,2026,6,25,6,0
2026-07-16,23,Product_23,4,4,12,402,86.77,1041.24,2026,7,29,5,0
2026-08-16,59,Product_59,12,2,4,119,90.34,361.36,2026,8,33,1,1
2026-08-14,107,Product_107,14,4,3,464,78.79,236.37,2026,8,33,6,0
2026-06-25,11,Product_11,2,2,1,202,50.69,50.69,2026,6,26,5,0
2026-06-23,17,Product_17,13,3,4,399,55.61,222.44,2026,6,26,3,0
2026-07-27,123,Product_123,4,4,22,183,84.61,1861.42,2026,7,31,2,0
2026-08-15,124,Product_124,13,3,3,154,8.81,26.43,2026,8,33,7,1
2026-08-24,28,Product_28,12,2,2,129,13.03,26.06,2026,8,35,2,0
2026-07-20,52,Product_52,10,10,3,415,16.12,48.36,2026,7,30,2,0
2026-06-02,95,Product_95,2,2,5,34,88.52,442.6,2026,6,23,3,0
2026-07-06,125,Product_125,16,6,39,276,24.17,942.63,2026,7,28,2,0
2026-08-25,70,Product_70,20,10,0,243,57.53,0.0,2026,8,35,3,0
2026-08-16,115,Product_115,8,8,3,75,81.14,243.42,2026,8,33,1,1
2026-06-25,62,Product_62,11,1,20,165,39.6,792.0,2026,6,26,5,0
2026-06-23,107,Product_107,7,7,3,200,78.79,236.37,2026,6,26,3,0
2026-06-26,128,Product_128,1,1,8,240,75.79,606.32,2026,6,26,6,0
2026-06-05,143,Product_143,3,3,13,369,21.45,278.85,2026,6,23,6,0
2026-06-02,9,Product_9,9,9,9,183,95.14,856.26,2026,6,23,3,0
2026-08-05,103,Product_103,18,8,2,456,90.22,180.44,2026,8,32,4,0
2026-08-01,101,Product_101,9,9,0,170,66.76,0.0,2026,8,31,7,1
2026-08-23,65,Product_65,9,9,12,483,19.04,228.48,2026,8,34,1,1
2026-06-06,116,Product_116,8,8,9,405,27.66,248.94,2026,6,23,7,1
2026-08-07,122,Product_122,6,6,0,264,71.32,0.0,2026,8,32,6,0
2026-06-06,29,Product_29,8,8,3,340,93.91,281.73,2026,6,23,7,1
2026-08-14,26,Product_26,1,1,9,159,14.03,126.27,2026,8,33,6,0
2026-08-02,30,Product_30,2,2,14,330,18.05,252.7,2026,8,31,1,1
2026-06-28,62,Product_62,12,2,21,164,39.6,831.6,2026,6,26,1,1
2026-07-17,139,Product_139,20,10,4,385,63.55,254.2,2026,7,29,6,0
2026-08-04,14,Product_14,20,10,4,204,85.61,342.44,2026,8,32,3,0
2026-07-28,146,Product_146,18,8,7,229,98.1,686.7,2026,7,31,3,0
2026-07-17,20,Product_20,1,1,5,322,74.81,374.05,2026,7,29,6,0
2026-07-26,81,Product_81,8,8,17,393,16.58,281.86,2026,7,30,1,1
2026-08-17,4,Product_4,9,9,8,21,39.81,318.48,2026,8,34,2,0
2026-06-23,142,Product_142,18,8,13,88,72.41,941.33,2026,6,26,3,0
2026-06-10,46,Product_46,15,5,1,36,77.57,77.57,2026,6,24,4,0
2026-08-03,110,Product_110,1,1,2,179,67.35,134.7,2026,8,32,2,0
2026-07-26,113,Product_113,3,3,52,319,9.91,515.32,2026,7,30,1,1
2026-08-09,60,Product_60,15,5,8,169,77.44,619.52,2026,8,32,1,1
2026-06-09,120,Product_120,15,5,33,20,93.14,3073.62,2026,6,24,3,0
2026-07-31,123,Product_123,11,1,18,476,84.61,1522.98,2026,7,31,6,0
2026-08-26,119,Product_119,6,6,7,324,81.09,567.63,2026,8,35,4,0
2026-07-08,73,Product_73,6,6,16,371,50.54,808.64,2026,7,28,4,0
2026-06-14,133,Product_133,5,5,11,275,23.34,256.74,2026,6,24,1,1
2026-07-05,36,Product_36,17,7,3,52,94.87,284.61,2026,7,27,1,1
2026-06-05,138,Product_138,6,6,20,64,10.18,203.6,2026,6,23,6,0
2026-08-11,53,Product_53,6,6,16,277,13.33,213.28,2026,8,33,3,0
2026-07-10,54,Product_54,20,10,12,321,67.5,810.0,2026,7,28,6,0
2026-07-16,39,Product_39,13,3,10,449,14.03,140.3,2026,7,29,5,0
2026-06-20,35,Product_35,20,10,5,409,80.54,402.7,2026,6,25,7,1
2026-07-29,96,Product_96,17,7,1,465,31.97,31.97,2026,7,31,4,0
2026-08-08,72,Product_72,13,3,3,273,79.13,237.39,2026,8,32,7,1
2026-06-02,10,Product_10,16,6,21,373,92.05,1933.05,2026,6,23,3,0
2026-07-06,14,Product_14,16,6,7,433,85.61,599.27,2026,7,28,2,0
2026-06-15,66,Product_66,17,7,0,29,93.93,0.0,2026,6,25,2,0
2026-07-05,26,Product_26,1,1,7,217,14.03,98.21,2026,7,27,1,1
2026-08-02,104,Product_104,5,5,15,250,7.75,116.25,2026,8,31,1,1
2026-06-05,133,Product_133,16,6,7,142,23.34,163.38,2026,6,23,6,0
2026-08-03,31,Product_31,6,6,10,202,96.09,960.9,2026,8,32,2,0
2026-07-25,47,Product_47,8,8,5,489,80.93,404.65,2026,7,30,7,1
2026-07-18,113,Product_113,13,3,31,443,9.91,307.21,2026,7,29,7,1
2026-07-27,17,Product_17,4,4,2,201,55.61,111.22,2026,7,31,2,0
2026-06-15,86,Product_86,1,1,1,401,83.41,83.41,2026,6,25,2,0
2026-07-30,38,Product_38,12,2,9,139,61.06,549.54,2026,7,31,5,0
2026-08-18,105,Product_105,6,6,8,467,27.88,223.04,2026,8,34,3,0
2026-06-29,102,Product_102,10,10,3,45,13.59,40.77,2026,6,27,2,0
2026-06-21,125,Product_125,14,4,41,479,24.17,990.97,2026,6,25,1,1
2026-06-01,70,Product_70,13,3,1,417,57.53,57.53,2026,6,23,2,0
2026-07-13,13,Product_13,15,5,8,434,55.87,446.96,2026,7,29,2,0
2026-06-07,68,Product_68,12,2,30,163,41.42,1242.6,2026,6,23,1,1
2026-07-16,1,Product_1,7,7,5,261,44.6,223.0,2026,7,29,5,0
2026-06-03,65,Product_65,18,8,11,83,19.04,209.44,2026,6,23,4,0
2026-07-19,111,Product_111,5,5,4,361,8.44,33.76,2026,7,29,1,1
2026-06-16,24,Product_24,13,3,10,199,17.55,175.5,2026,6,25,3,0
2026-06-19,35,Product_35,3,3,1,149,80.54,80.54,2026,6,25,6,0
2026-07-16,150,Product_150,3,3,5,237,59.38,296.9,2026,7,29,5,0
2026-07-28,66,Product_66,7,7,1,475,93.93,93.93,2026,7,31,3,0
2026-06-30,148,Product_148,5,5,15,96,79.49,1192.35,2026,6,27,3,0
2026-06-27,13,Product_13,3,3,7,403,55.87,391.09,2026,6,26,7,1
2026-07-02,4,Product_4,8,8,15,243,39.81,597.15,2026,7,27,5,0
2026-06-17,17,Product_17,9,9,2,257,55.61,111.22,2026,6,25,4,0
2026-06-28,134,Product_134,1,1,11,428,30.72,337.92,2026,6,26,1,1
2026-07-18,2,Product_2,8,8,10,182,27.09,270.9,2026,7,29,7,1
